topic_1,topic_2,topic_3,score_1,score_2,score_3,text_index
Copyrights,Privacy Policy,Tokenization,0.8418976664543152,0.8393853902816772,0.8393853902816772,0
End User Digital,Desktop Environment,XenDesktop,0.7977577447891235,0.7977577447891235,0.7977577447891235,1
